episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
136,618.0,697,107,0.5732,1.54081,109.0,0,4303.4
137,574.0,834,1040,0.563,1.64778,108.2,0,4341.9
138,601.0,676,98,0.5621,1.71893,109.1,0,4345.5
139,246.0,310,37,0.5617,1.54629,109.6,0,4346.8
140,1293.0,1431,402,0.5578,1.59961,109.5,0,4361.5
141,793.0,885,179,0.556,1.6721,110.3,0,4368.0
142,246.0,310,30,0.5557,1.75099,110.6,0,4369.1
143,614.0,722,266,0.5531,1.73738,109.7,0,4378.8
144,1405.0,1509,238,0.5508,1.67127,110.2,0,4387.4
145,1364.0,1470,253,0.5483,1.64188,110.1,0,4396.6
146,221.0,285,40,0.5479,1.62035,109.9,0,4398.1
147,712.0,794,125,0.5467,1.71756,108.8,0,4402.7
148,631.0,708,96,0.5458,1.78413,110.5,0,4406.1
149,241.0,304,35,0.5454,1.68065,109.4,0,4407.4
150,243.0,308,39,0.545,1.59694,108.5,0,4408.9
